Training Center,Contact Info,Website,Training Director
Central Electrical JATC,"; 33309 Highway 99E; 
        ; Tangent, OR 97389; 
        ; Phone: 541-917-6199; 
        ; Fax: 541-917-6190;",,"; Mike Ellison; 
        ; mellison@cjatc.org;"
NW Line JATC,"; 1705 SE 17th Street; 
        ; Battle Ground, WA 98604; 
        ; Phone: 360-816-7100; 
        ; Fax: 360-816-7101; 
    ; Website: ; https://nwlinejatc.com;",https://nwlinejatc.com,"; Terry Lowen; 
        ; nwline@nwlinejatc.com;"
"IBEW Local Union 375, JATC","; 101 S. 7th Street; 
        ; Allentown, PA 18101; 
        ; Phone: 610-432-9762; 
        ; Fax: 610-432-8467;",,"; Robert Franklin III; 
        ; rfranklin@ibew375.org;"
Western Central PA Electricians JATC,"; 217 Sassafas Lane; 
        ; Beaver, PA 15009; 
        ; Phone: 724-775-6920; 
        ; Fax: 724-775-5695; 
    ; Website: ; http://www.wcpaejatc.org;",http://www.wcpaejatc.org,"; Gregory A.  Hojdila; 
        ; jatc@ibew712.org;"
Chester JATC,"; 3729 Chichester Avenue; 
        ; Boothwyn, PA 19061; 
        ; Phone: 610-494-2820; 
        ; Fax: 610-494-3913;",,"; Michael Garvey; 
        ; kpratt@ibew654.com;"
IBEW Local 56 EETF,"; 185 Pennbriar Drive; 
        ; Erie, PA 16509; 
        ; Phone: 814-825-5505; 
        ; Fax: 814-825-5210;",,"; James C. Nuber Jr.; 
        ; jnuber@ibew56.org;"
Harrisburg Electricians,"; 1501 Revere Street; 
        ; Harrisburg, PA 17104; 
        ; Phone: 717-232-7093; 
        ; Fax: 717-232-7113;",,"; Brian Weibley; 
        ; 143jatc@gmail.com;"
ATEI 98 Zone 2,"; 4020 Cross Keys Road; 
        ; Collegeville, PA 19426; 
        ; Phone: 610-489-6399; 
        ; Fax: 610-489-3613;",,"; Louis Acampora Jr.; 
        ; lacompora@ibew98.org;"
Apprentice Training for the Electrical Industry,"; 1101 Kitty Hawk Ave; 
        ; Philadelphia, PA 19112; 
        ; Phone: 215-567-6405; 
        ; Fax: 215-339-8297;",,"; Brian Myers; 
        ; bmyers@ibew98.org;"
Pittsburgh JATC,"; 5 Hot Metal Street, Suite 100; 
        ; Pittsburgh, PA 15203; 
        ; Phone: 412-432-1145; 
        ; Fax: 412-431-4614; 
    ; Website: ; http://www.ibewlocal5jatc.org;",http://www.ibewlocal5jatc.org,"; Tim Wisyanski; 
        ; tvwisyanski@local5jatc.org;"
LU #743 IBEW & NECA Penn-Del-Jersey Chapter,"; 20 Morgan Drive; 
        ; Reading, PA 19608; 
        ; Phone: 610-777-8388; 
        ; Fax: 610-777-7059;",,"; Ed Bernitsky; 
        ; edjatc@yahoo.com;"
LU 607 IBEW Shamokin JATC,"; 25 South 5th Street; 
        ; Shamokin, PA 17872; 
        ; Phone: 570-648-9831; 
        ; Fax: 570-648-0176;",,"; Dean Garancheski; 
        ; eta607@hotmail.com;"
Scranton Electricians JATC,"; 4 East Skyline Drive; 
        ; South Abington Township, PA 18411; 
        ; Phone: 570-319-1721; 
        ; Fax: 570-319-6417;",,"; Brad Hummel; 
        ; bdhummel@sejatc81.com;"
Wilkes-Barre Elec. JATC,"; 41 W. Church Street; 
        ; Nanticoke, PA 18634; 
        ; Phone: 570-258-2665; 
        ; Fax: 570-258-2758;",,"; John T.  Nadolny; 
        ; jnad@wbjatc.org;"
Williamsport JATC,"; 500 Jordan Avenue; 
        ; Montoursville, PA 17754; 
        ; Phone: 570-368-8984; 
        ; Fax: 570-368-3461;",,"; Jim H.  Beamer; 
        ; jbeamer@ibew812.com;"
York Elec. JATC,"; 555 Willow Springs Lane; 
        ; York, PA 17403; 
        ; Phone: 717-843-8368; 
        ; Fax: 717-843-2991; 
    ; Website: ; http://www.yei.edu;",http://www.yei.edu,"; Phil Lamison; 
        ; plamison@yei.edu;"
NorthEastern AJATC,"; 1513 Ben Franklin Highway; 
        ; Douglassville, PA 19518; 
        ; Phone: 610-326-2860; 
        ; Fax: 610-326-2924; 
    ; Website: ; http://www.neat1968.org;",http://www.neat1968.org,"; Jason Lauze; 
        ; neat3455@aol.com;"
IBEW L.U. 950 JATC,"; HC-03, Box 6786; 
        ; Dorado, PR 00646; 
        ; Phone: 787-587-6080; 
        ; Fax: null;",,"; Juan Pagan; 
        ; ibewlu950@ibewpr.org;"
IBEW Local 99 JATC,"; 40 Western Industrial Drive; 
        ; Cranston, RI 02921; 
        ; Phone: 401-946-9908; 
        ; Fax: 401-946-5995;",,"; Michael Petit; 
        ; mpetit@ibew99.org;"
Charleston Area Elec. JATC,"; 7281 Cross Park Drive Building 200; 
        ; North Charleston, SC 29418; 
        ; Phone: 843-990-9984; 
        ; Fax: 843-990-9984; 
    ; Website: ; http://www.ceta776.org;",http://www.ceta776.org,"; Stephen Lipster; 
        ; director@ceta776.org;"
Dakotas Electrial JATC,"; 922-1/2 East St. Patrick Street; 
        ; Rapid City, SD 57701; 
        ; Phone: 605-343-0954; 
        ; Fax: 605-348-8600; 
    ; Website: ; http://www.dakotasjatc.org/;",http://www.dakotasjatc.org/,"; Jamie Hegleson; 
        ; director@dakotasjatc.org;"
Dakotas Electrical JATC,"; 3725 N. 4th Ave; 
        ; Sioux Falls, SD 57104; 
        ; Phone: 605-336-0370; 
        ; Fax: 605-335-7672;",,"; Adam Kidwell; 
        ; adamk@dakotasjatc.org;"
Chattanooga Electrical JATC,"; 3924 Volunteer Drive; 
        ; Chattanooga, TN 37416; 
        ; Phone: 423-894-9053; 
        ; Fax: 423-242-0056;",,"; Michael Varnell; 
        ; mvarnell@chattjatc.com;"
Tri-Cities Area JATC,"; P.O. Box 388; 
        ; Blountville, TN 37617; 
        ; Phone: 423-323-5411; 
        ; Fax: 423-323-5413;",,"; Jonathan Van Bremen; 
        ; td934jatc@yahoo.com;"
Electrician Training Academy Knoxville (ETAK),"; 6107 Central Avenue Pike; 
        ; Knoxville, TN 37912; 
        ; Phone: 865-379-6214; 
        ; Fax: 865-379-1712; 
    ; Website: ; http://www.etaknox.org;",http://www.etaknox.org,"; Todd Lykins; 
        ; etaknox@gmail.com;"
LU 1925 IBEW,"; 402 Jackson Street; 
        ; Martin, TN 38327; 
        ; Phone: 731-587-3457; 
        ; Fax: 731-587-3457;",,"; Carsten  Kradenpoth; 
        ; ibew1925@frontiernet.net;"
Memphis Electrical JATC,"; 6211 Shelby Oaks Drive; 
        ; Memphis, TN 38134; 
        ; Phone: 901-386-2301; 
        ; Fax: 901-937-8892;",,"; Daniel Luke Huffman; 
        ; Daniel.Huffman@memphiselectricaljatc.org;"
Nashville Electrical JATC,"; 310 Fesslers Lane; 
        ; Nashville, TN 37210; 
        ; Phone: 615-242-9950; 
        ; Fax: 615-242-0329; 
    ; Website: ; https://www.nejatc.org/;",https://www.nejatc.org/,"; John Ledwell; 
        ; john.ledwell@nejatc.org;"
Oak Ridge Electrical JATC,"; P.O. Box 4968; 
        ; Oak Ridge, TN 37831; 
        ; Phone: 865-483-9955; 
        ; Fax: 865-483-7945; 
    ; Website: ; http://www.orejatc.org ;",http://www.orejatc.org,"; Brad Hale; 
        ; bradhale.orejatc@gmail.com;"
Austin Electrical JATC,"; 4000 Caven Road; 
        ; Austin, TX 78744; 
        ; Phone: 512-389-3024; 
        ; Fax: 512-389-3455;",,"; Gabriel Flores; 
        ; gabe.flores@austineta.org;"
West Texas Electrical JATC,"; P.O. Box 245, 200 S. Fannin; 
        ; Amarillo, TX 79105; 
        ; Phone: 806-372-1581; 
        ; Fax: 806-331-6718; 
    ; Website: ; https://wtxjatc.org;",https://wtxjatc.org,"; Paul Salazar; 
        ; psalazarjatc@wtxjatc.org;"
Beaumont Electrical JATC,"; 707 Helena Avenue; 
        ; Nederland, TX 77627; 
        ; Phone: 409-727-3102; 
        ; Fax: 409-727-3103; 
    ; Website: ; http://www.electricaltrainingsetx.org;",http://www.electricaltrainingsetx.org,"; William P. Griffin II; 
        ; bgriffin479@sbcglobal.net;"
Texas Gulf Coast Electrical JATC,"; 5402 S. Staples Suite 101; 
        ; Corpus Christi, TX 78411; 
        ; Phone: 361-884-8414; 
        ; Fax: 361-884-5282;",,"; Roni Kelley; 
        ; electricalapprenticeship@ccjatc.net;"
North Texas Electrical JATC,"; 680 W. Tarrant Road; 
        ; Grand Prairie, TX 75050; 
        ; Phone: 972-266-8383; 
        ; Fax: 972-266-8303; 
    ; Website: ; http://www.ntejatc.org;",http://www.ntejatc.org,"; Jason Allen; 
        ; jallen@ntejatc.org;"
El Paso Electricians JATC,"; 6040 Luckett Court; 
        ; El Paso, TX 79932; 
        ; Phone: 915-872-9927; 
        ; Fax: 915-872-9928;",,"; Arturo Jimenez; 
        ; art@epjatc.com;"
Galveston Electrical JATC,"; 2509 FM 2004; 
        ; Texas City, TX 77591; 
        ; Phone: 409-933-9800; 
        ; Fax: 409-933-9893;",,"; Christopher Rhoads; 
        ; galvestonjatc@sbcglobal.net;"
Houston Electrical JATC,"; 108 Covern Street; 
        ; Houston, TX 77061; 
        ; Phone: 713-649-2739; 
        ; Fax: 713-649-1166;",,"; Gene A. Brinkmeyer; 
        ; brinkmeyer@att.net;"
East Texas Elec. JATC,"; 2936 Specialty Drive; 
        ; Tyler, TX 75707; 
        ; Phone: 903-838-8531; 
        ; Fax: 903-838-8532; 
    ; Website: ; http://www.etejatc.org ;",http://www.etejatc.org,"; Nikki Foster; 
        ; easttxjatc@gmail.com;"
LU 898 IBEW,"; 909 Caddo Street; 
        ; San Angelo, TX 76901; 
        ; Phone: 325-655-1401; 
        ; Fax: 325-655-2881;",,"; Megan Tatsch; 
        ; ibew0898@yahoo.com;"
South Texas Electrical JATC,"; 2503 Blanco Road; 
        ; San Antonio, TX 78212; 
        ; Phone: 210-225-8900; 
        ; Fax: 210-225-8907; 
    ; Website: ; http://www.sotxjatc.org;",http://www.sotxjatc.org,"; John L. Martin; 
        ; info@sotxjatc.org;"
Texarkana Elec. JATC,"; 114 Elm Street, P.O. Box 490; 
        ; Nash, TX 75569; 
        ; Phone: 903-838-8531; 
        ; Fax: 903-838-8532;",,"; Nikki Foster; 
        ; 301uniongirl@gmail.com;"
Waco Electricians Area Wide JATC,"; 1813 Orchard Lane; 
        ; Waco, TX 76705; 
        ; Phone: 254-754-3121; 
        ; Fax: 254-754-5855;",,"; Steve Lopez; 
        ; stevelopez1969@yahoo.com;"
Rio Grand Valley-Laredo JATC,"; 224 N Mc Coll Rd., Suite C/D; 
        ; McAllen, TX 78501; 
        ; Phone: 956-630-3108; 
        ; Fax: 956-630-3153;",,"; Osvaldo Cabada, Jr.; 
        ; rgvle_jatc2@yahoo.com;"
Wichita Falls JATC,"; 6111 Jacksboro Highway; 
        ; Wichita Falls, TX 76302; 
        ; Phone: 940-322-1661; 
        ; Fax: 940-723-9301;",,"; Crystal G. Gilley; 
        ; wfjatc@ibew681.org;"
Utah Electrical JATC,"; 7466 South Redwood Road; 
        ; West Jordan, UT 84084; 
        ; Phone: 801-975-1945; 
        ; Fax: 801-975-7424;",,"; Brian Vermouth; 
        ; brian@uteta.org;"
Mountain States Line Constructors JATC,"; 8781 South Redwood Road Suite 150; 
        ; West Jordan, UT 84088; 
        ; Phone: 801-562-2929; 
        ; Fax: 801-562-2939; 
    ; Website: ; http://www.mslcat.org ;",http://www.mslcat.org,"; Jeremy Whittaker; 
        ; jeremy@mslcat.rog;"
Hampton Roads JATC,"; 553 Industrial Park Drive; 
        ; Newport News, VA 23608; 
        ; Phone: 757-875-1744; 
        ; Fax: 757-875-1755;",,"; Gerald Dix; 
        ; apprenticeship@ibew 1340.com;"
Tidewater Electrical,"; 5315 Henneman Drive; 
        ; Norfolk, VA 23513; 
        ; Phone: 757-480-2812; 
        ; Fax: 757-480-2813;",,"; Meghan Hurt; 
        ; meghanhurt@tidewaterjatc80.com;"
Richmond Electricians JATC,"; 7914 Midlothian Turnpike; 
        ; Bon Air, VA 23235; 
        ; Phone: 804-752-8266; 
        ; Fax: 804-752-4554; 
    ; Website: ; http://www.rjatc.org;",http://www.rjatc.org,"; Steven Gregg Spicer; 
        ; admin@rjatc.org;"
Vermont Electrical JATC,"; 3 Gregory Drive; 
        ; S. Burlington, VT 05403; 
        ; Phone: 802-864-5864; 
        ; Fax: 802-862-6379;",,"; Michael Ponce; 
        ; mike@ibewlocal300.org;"
Northwest Wash. Electrical Industry JATC,"; 306 Anderson Road; 
        ; Mt. Vernon, WA 98273; 
        ; Phone: 360-428-5080; 
        ; Fax: 360-428-3374; 
    ; Website: ; http://www.nwejatc.org;",http://www.nwejatc.org,"; Robert E. Bartel; 
        ; rob.bartel@nwejatc.org;"
Columbia Basin Electrical Training Alliance,"; 142 N. Edison St; 
        ; Kennewick, WA 99336; 
        ; Phone: 509-783-0589; 
        ; Fax: 509-783-6721; 
    ; Website: ; http://www.jatc112.org;",http://www.jatc112.org,"; Geoff Arends; 
        ; g.arends@jatc112.org;"
Puget Sound Electrical JATC,"; 550 SW 7th Street; 
        ; Renton, WA 98057; 
        ; Phone: 425-228-1777; 
        ; Fax: 425-228-1778; 
    ; Website: ; http://www.psejatc.org;",http://www.psejatc.org,"; Ryan Bradt; 
        ; ryan@psejatc.org;"
Inland Empire Electrical Training Trust,"; 3210 E. Ferry Avenue; 
        ; Spokane, WA 99202; 
        ; Phone: 509-534-0922; 
        ; Fax: 509-534-1959; 
    ; Website: ; https://www.inlandelectrical.org;",https://www.inlandelectrical.org,"; Jon Medaris; 
        ; jon.medaris@inlandelectrical.org;"
SW Washington Electrical JATC,"; 3001 South 36th Street, Suite A; 
        ; Tacoma, WA 98409; 
        ; Phone: 253-475-2922; 
        ; Fax: 253-474-7945;",,"; Barry Blackburn; 
        ; barry@swjatc.org;"
Seattle City Light,"; 3613 4 th Avenue, South BLDG A, Room 154; 
        ; Seattle, WA 98134; 
        ; Phone: 206-386-0025; 
        ; Fax: 206-386-1664;",,"; Michiko Starks; 
        ; michiko.starks@seattle.gov;"
Tacoma Power,"; 3628 South 35th Street; 
        ; Tacoma, WA 98409; 
        ; Phone: null; 
        ; Fax: null;",,"; null null; 
        ; null;"
Appleton/Osh Kosh Area Electrical JATC,"; 2730 Dairy Drive, Suite 102; 
        ; Madison, WI 53718; 
        ; Phone: 608-221-3321; 
        ; Fax: 608-221-9864; 
    ; Website: ; http://www.wijatc.org;",http://www.wijatc.org,"; Mike Wagner; 
        ; mike@wijatc.org;"
Eau Claire Area Electrical JATC,"; 2730 Dairy Drive, Suite 102; 
        ; Madison, WI 53718; 
        ; Phone: 608-221-3321; 
        ; Fax: 608-221-9864; 
    ; Website: ; http://www.wijatc.org;",http://www.wijatc.org,"; Mike Wagner; 
        ; mike@wijatc.org;"
Northeast WI Area Electrical JATC,"; 2730 Dairy Drive, Suite 102; 
        ; Madison, WI 53718; 
        ; Phone: 608-221-3321; 
        ; Fax: 608-221-9864; 
    ; Website: ; http://www.wijatc.org;",http://www.wijatc.org,"; Mike Wagner; 
        ; mike@wijatc.org;"
Southcentral WI Area Electrical JATC,"; 17 S. River Street; 
        ; Janesville, WI 53545; 
        ; Phone: 608-752-0321; 
        ; Fax: 608-752-1262; 
    ; Website: ; http://www.wijatc.org;",http://www.wijatc.org,"; Mike Wagner; 
        ; mike@wijatc.org;"
Kenosha Area Electrical JATC,"; 2730 Dairy Drive, Suite 102; 
        ; Madison, WI 53718; 
        ; Phone: 608-221-3321; 
        ; Fax: 608-221-9864; 
    ; Website: ; http://www.wijatc.org;",http://www.wijatc.org,"; Mike Wagner; 
        ; mike@wijatc.org;"
Madison Area Electrical JATC,"; 2730 Dairy Drive, Suite 102; 
        ; Madison, WI 53718; 
        ; Phone: 608-221-3321; 
        ; Fax: 608-221-9864; 
    ; Website: ; http://www.wijatc.org;",http://www.wijatc.org,"; Mike Wagner; 
        ; mike@wijatc.org;"
Milwaukee Electrical Joint Apprenticeship,"; 6300 W Layton Ave; 
        ; Greenfield, WI 53220; 
        ; Phone: 414-543-9060; 
        ; Fax: 414-543-3388; 
    ; Website: ; http://www.mejatc.com;",http://www.mejatc.com,"; Dan Large; 
        ; dan@mejatc.com;"
Racine Area Electrical JATC,"; 2730 Dairy Drive, Suite 102; 
        ; Madison, WI 53718; 
        ; Phone: 608-221-3321; 
        ; Fax: 608-221-9864; 
    ; Website: ; http://www.wijatc.org;",http://www.wijatc.org,"; Mike Wagner; 
        ; mike@wijatc.org;"
WI River Valley Area Electrical JATC,"; 2730 Dairy Drive, Suite 102; 
        ; Madison, WI 53718; 
        ; Phone: 608-221-3321; 
        ; Fax: 608-221-9864; 
    ; Website: ; http://www.wijatc.org;",http://www.wijatc.org,"; Mike Wagner; 
        ; mike@wijatc.org;"
Charleston Area Elec. JATC,"; 810 Indiana Avenue; 
        ; Charleston, WV 25302; 
        ; Phone: 304-345-5166; 
        ; Fax: 304-344-0433;",,"; Dustin Vaughan; 
        ; dustinv@ibew466.org;"
Clarksburg Elec. JATC,"; 1001 N.1 2th Street; 
        ; Clarksburg, WV 26301; 
        ; Phone: 304-622-0151; 
        ; Fax: 304-622-2099;",,"; Richard ""Todd"" Berry; 
        ; tberry@ibew596.com;"
Huntington Electrical JATC,"; 1816 Madison Avenue; 
        ; Huntington, WV 25704; 
        ; Phone: 304-429-3841; 
        ; Fax: 304-429-3842; 
    ; Website: ; http://www.huntingtonjatc.org;",http://www.huntingtonjatc.org,"; Tim  Akers; 
        ; apprenticeship@huntingtonjatc.org;"
Parkersburg Joint App. & Training Committee,"; 1845 7th Street; 
        ; Parkersburg, WV 26101; 
        ; Phone: 304-485-7412; 
        ; Fax: 304-485-7413;",,"; Mark Holbert; 
        ; mark.ptec@gmail.com;"
Wheeling Elec. JATC,"; 82 Burkham Court; 
        ; Wheeling, WV 26003; 
        ; Phone: 304-242-3870; 
        ; Fax: 304-242-3946;",,"; Mark Dunfee Sr.; 
        ; markdunfee@aol.com;"
Wyoming Electrical JATC,"; 2080 N. Skyview Drive; 
        ; Casper, WY 82601; 
        ; Phone: 307-234-8311; 
        ; Fax: 307-234-6055; 
    ; Website: ; http://www.wyojatc.org;",http://www.wyojatc.org,"; Brenda Hopster Morgan; 
        ; bmorgan@wyojatc.org;"
Wyoming Electrical JATC,"; 2080 N. Skyview Drive; 
        ; Casper, WY 82601; 
        ; Phone: 307-234-8311; 
        ; Fax: 307-234-6055; 
    ; Website: ; http://www.wyojatc.org;",http://www.wyojatc.org,"; Brenda Hopster Morgan; 
        ; bmorgan@wyojatc.org;"
